stage_id;date;stage_number;sub_stage;start_place;start_country;end_place;end_country;distance_km;terrain;terrain_group;winner_name;winner_country;start_lat;start_long;start_gnid;end_lat;end_long;end_gnid;dist_start_end
1903_1;1903-07-01; 1;main;Paris;FR;Lyon;FR;467,000;Plain;Flat;Maurice Garin ;FRA;48,85341; 2,3488000;2988507;45,74846; 4,8467100;2996944;393,680319
1903_2;1903-07-05; 2;main;Lyon;FR;Marseille;FR;374,000;With mountain;Mountain;Hippolyte Aucouturier ;FRA;45,74846; 4,8467100;2996944;43,29695; 5,3810700;2995469;276,174732
1903_3;1903-07-08; 3;main;Marseille;FR;Toulouse;FR;423,000;Plain;Flat;Hippolyte Aucouturier ;FRA;43,29695; 5,3810700;2995469;43,60426; 1,4436700;2972315;320,001175
1903_4;1903-07-12; 4;main;Toulouse;FR;Bordeaux;FR;268,000;Plain;Flat;Charles Laeser ;SUI;43,60426; 1,4436700;2972315;44,84044;-0,5805000;3031582;212,149266
1903_5;1903-07-13; 5;main;Bordeaux;FR;Nantes;FR;425,000;Plain;Flat;Maurice Garin ;FRA;44,84044;-0,5805000;3031582;47,21725;-1,5533600;2990969;275,055582
1903_6;1903-07-18; 6;main;Nantes;FR;Paris;FR;471,000;Plain;Flat;Maurice Garin ;FRA;47,21725;-1,5533600;2990969;48,85341; 2,3488000;2988507;342,778270
1904_1;1904-07-02; 1;main;Montgeron;FR;Lyon;FR;467,000;Plain;Flat;Maurice Garin ;FRA;48,70543; 2,4503900;2992536;45,74846; 4,8467100;2996944;375,676871
1904_2;1904-07-09; 2;main;Lyon;FR;Marseille;FR;374,000;With mountain;Mountain;Hippolyte Aucouturier ;FRA;45,74846; 4,8467100;2996944;43,29695; 5,3810700;2995469;276,174732
1904_3;1904-07-13; 3;main;Marseille;FR;Toulouse;FR;424,000;Plain;Flat;Hippolyte Aucouturier ;FRA;43,29695; 5,3810700;2995469;43,60426; 1,4436700;2972315;320,001175
1904_4;1904-07-17; 4;main;Toulouse;FR;Bordeaux;FR;268,000;Plain;Flat;Lucien Pothier ;FRA;43,60426; 1,4436700;2972315;44,84044;-0,5805000;3031582;212,149266
1904_5;1904-07-20; 5;main;Bordeaux;FR;Nantes;FR;425,000;Plain;Flat;Hippolyte Aucouturier ;FRA;44,84044;-0,5805000;3031582;47,21725;-1,5533600;2990969;275,055582
1904_6;1904-07-23; 6;main;Nantes;FR;Paris;FR;471,000;Plain;Flat;Hippolyte Aucouturier ;FRA;47,21725;-1,5533600;2990969;48,85341; 2,3488000;2988507;342,778270
1905_1;1905-07-09; 1;main;Paris;FR;Nancy;FR;340,000;Plain;Flat;Louis Trousselier ;FRA;48,85341; 2,3488000;2988507;48,68439; 6,1849600;2990999;282,058713
1905_2;1905-07-11; 2;main;Nancy;FR;Besançon;FR;299,000;With mountain;Mountain;Hippolyte Aucouturier ;FRA;48,68439; 6,1849600;2990999;47,24878; 6,0181500;3033123;160,294178
1905_3;1905-07-14; 3;main;Besançon;FR;Grenoble;FR;327,000;Plain;Flat;Louis Trousselier ;FRA;47,24878; 6,0181500;3033123;45,17155; 5,7223900;3014728;232,355401
1905_4;1905-07-16; 4;main;Grenoble;FR;Toulon;FR;348,000;With mountain;Mountain;Hippolyte Aucouturier ;FRA;45,17155; 5,7223900;3014728;43,12442; 5,9283600;2972328;228,478337
1905_5;1905-07-18; 5;main;Toulon;FR;Nîmes;FR;192,000;Plain;Flat;Louis Trousselier ;FRA;43,12442; 5,9283600;2972328;43,83378; 4,3596200;2990363;149,303429
1905_6;1905-07-20; 6;main;Nîmes;FR;Toulouse;FR;307,000;Plain;Flat;Jean-Baptiste Dortignacq ;FRA;43,83378; 4,3596200;2990363;43,60426; 1,4436700;2972315;235,976766
1905_7;1905-07-22; 7;main;Toulouse;FR;Bordeaux;FR;268,000;Plain;Flat;Louis Trousselier ;FRA;43,60426; 1,4436700;2972315;44,84044;-0,5805000;3031582;212,149266
1905_8;1905-07-24; 8;main;Bordeaux;FR;La Rochelle;FR;257,000;Plain;Flat;Hippolyte Aucouturier ;FRA;44,84044;-0,5805000;3031582;46,16667;-1,1500000;3006787;154,175323
1905_9;1905-07-26; 9;main;La Rochelle;FR;Rennes;FR;263,000;Plain;Flat;Louis Trousselier ;FRA;46,16667;-1,1500000;3006787;48,11198;-1,6742900;2983990;220,158371
1905_10;1905-07-28;10;main;Rennes;FR;Caen;FR;167,000;Plain;Flat;Jean-Baptiste Dortignacq ;FRA;48,11198;-1,6742900;2983990;49,18585;-0,3591200;3029241;153,767998
1905_11;1905-07-29;11;main;Caen;FR;Paris;FR;253,000;Plain;Flat;Jean-Baptiste Dortignacq ;FRA;49,18585;-0,3591200;3029241;48,85341; 2,3488000;2988507;201,109652
1906_1;1906-07-04; 1;main;Paris;FR;Lille;FR;275,000;Plain;Flat;Emile Georget ;FRA;48,85341; 2,3488000;2988507;50,63297; 3,0585800;2998324;204,571273
1906_2;1906-07-06; 2;main;Douai;FR;Nancy;FR;400,000;Plain;Flat;René Pottier ;FRA;50,36667; 3,0666700;3021000;48,68439; 6,1849600;2990999;292,941581
1906_3;1906-07-08; 3;main;Nancy;FR;Dijon;FR;416,000;With mountain;Mountain;René Pottier ;FRA;48,68439; 6,1849600;2990999;47,31667; 5,0166700;3021372;175,363095
1906_4;1906-07-10; 4;main;Dijon;FR;Grenoble;FR;311,000;Plain;Flat;René Pottier ;FRA;47,31667; 5,0166700;3021372;45,17155; 5,7223900;3014728;244,893487
1906_5;1906-07-12; 5;main;Grenoble;FR;Nice;FR;345,000;With mountain;Mountain;René Pottier ;FRA;45,17155; 5,7223900;3014728;43,70313; 7,2660800;2990440;204,381262
1906_6;1906-07-14; 6;main;Nice;FR;Marseille;FR;292,000;Plain;Flat;Georges Passerieu ;FRA;43,70313; 7,2660800;2990440;43,29695; 5,3810700;2995469;158,780928
1906_7;1906-07-16; 7;main;Marseille;FR;Toulouse;FR;480,000;Plain;Flat;Louis Trousselier ;FRA;43,29695; 5,3810700;2995469;43,60426; 1,4436700;2972315;320,001175
1906_8;1906-07-18; 8;main;Toulouse;FR;Bayonne;FR;300,000;Plain;Flat;Jean-Baptiste Dortignacq ;FRA;43,60426; 1,4436700;2972315;43,48333;-1,4833300;3034475;236,549793
1906_9;1906-07-20; 9;main;Bayonne;FR;Bordeaux;FR;338,000;Plain;Flat;Louis Trousselier ;FRA;43,48333;-1,4833300;3034475;44,84044;-0,5805000;3031582;167,392120
1906_10;1906-07-22;10;main;Bordeaux;FR;Nantes;FR;391,000;Plain;Flat;Louis Trousselier ;FRA;44,84044;-0,5805000;3031582;47,21725;-1,5533600;2990969;275,055582
1906_11;1906-07-24;11;main;Nantes;FR;Brest;FR;321,000;Plain;Flat;Louis Trousselier ;FRA;47,21725;-1,5533600;2990969;48,39029;-4,4862800;3030300;255,202669
1906_12;1906-07-26;12;main;Brest;FR;Caen;FR;415,000;Plain;Flat;Georges Passerieu ;FRA;48,39029;-4,4862800;3030300;49,18585;-0,3591200;3029241;315,338312
1906_13;1906-07-29;13;main;Caen;FR;Paris;FR;259,000;Plain;Flat;René Pottier ;FRA;49,18585;-0,3591200;3029241;48,85341; 2,3488000;2988507;201,109652
1907_1;1907-07-08; 1;main;Paris;FR;Roubaix;FR;272,000;Plain;Flat;Louis Trousselier ;FRA;48,85341; 2,3488000;2988507;50,69421; 3,1745600;2982681;213,338911
1907_2;1907-07-10; 2;main;Roubaix;FR;Metz;FR;398,000;Plain;Flat;Emile Georget ;FRA;50,69421; 3,1745600;2982681;49,11911; 6,1726900;2994160;277,352851
1907_3;1907-07-12; 3;main;Metz;FR;Belfort;FR;259,000;With mountain;Mountain;Emile Georget ;FRA;49,11911; 6,1726900;2994160;47,63883; 6,8541900;3033791;172,314061
1907_4;1907-07-14; 4;main;Belfort;FR;Lyon;FR;309,000;With mountain;Mountain;Marcel Cadolle ;FRA;47,63883; 6,8541900;3033791;45,74846; 4,8467100;2996944;260,320476
1907_5;1907-07-16; 5;main;Lyon;FR;Grenoble;FR;311,000;With mountain;Mountain;Emile Georget ;FRA;45,74846; 4,8467100;2996944;45,17155; 5,7223900;3014728; 93,803427
1907_6;1907-07-18; 6;main;Grenoble;FR;Nice;FR;345,000;With mountain;Mountain;Georges Passerieu ;FRA;45,17155; 5,7223900;3014728;43,70313; 7,2660800;2990440;204,381262
1907_7;1907-07-20; 7;main;Nice;FR;Nîmes;FR;345,000;Plain;Flat;Emile Georget ;FRA;43,70313; 7,2660800;2990440;43,83378; 4,3596200;2990363;234,085707
1907_8;1907-07-22; 8;main;Nîmes;FR;Toulouse;FR;303,000;Plain;Flat;Emile Georget ;FRA;43,83378; 4,3596200;2990363;43,60426; 1,4436700;2972315;235,976766
1907_9;1907-07-24; 9;main;Toulouse;FR;Bayonne;FR;299,000;Plain;Flat;Lucien Petit-Breton ;FRA;43,60426; 1,4436700;2972315;43,48333;-1,4833300;3034475;236,549793
1907_10;1907-07-26;10;main;Bayonne;FR;Bordeaux;FR;269,000;Plain;Flat;Gustave Garrigou ;FRA;43,48333;-1,4833300;3034475;44,84044;-0,5805000;3031582;167,392120
1907_11;1907-07-28;11;main;Bordeaux;FR;Nantes;FR;391,000;Plain;Flat;Lucien Petit-Breton ;FRA;44,84044;-0,5805000;3031582;47,21725;-1,5533600;2990969;275,055582
1907_12;1907-07-30;12;main;Nantes;FR;Brest;FR;321,000;Plain;Flat;Gustave Garrigou ;FRA;47,21725;-1,5533600;2990969;48,39029;-4,4862800;3030300;255,202669
1907_13;1907-08-01;13;main;Brest;FR;Caen;FR;415,000;Plain;Flat;Emile Georget ;FRA;48,39029;-4,4862800;3030300;49,18585;-0,3591200;3029241;315,338312
1907_14;1907-08-04;14;main;Caen;FR;Paris;FR;251,000;Plain;Flat;Georges Passerieu ;FRA;49,18585;-0,3591200;3029241;48,85341; 2,3488000;2988507;201,109652
1908_1;1908-07-13; 1;main;Paris;FR;Roubaix;FR;272,000;Plain;Flat;Georges Passerieu ;FRA;48,85341; 2,3488000;2988507;50,69421; 3,1745600;2982681;213,338911
1908_2;1908-07-15; 2;main;Roubaix;FR;Metz;FR;398,000;Plain;Flat;Lucien Petit-Breton ;FRA;50,69421; 3,1745600;2982681;49,11911; 6,1726900;2994160;277,352851
