stage_id,date,stage_number,sub_stage,place,country,lat,long,gnid,elev,distance_km,distance_crow_km,terrain,terrain_group,winner_name,winner_country,year,elev_change,elev_mean,winner_name_short,winner_label,start_mt,end_mt,mt_range,section_number,progress_end,progress_start,position
1903_1,1903-07-01,1,main,Paris,FR,48.85341,2.3488,2988507,30,467,393.680319,Plain,Flat,Maurice Garin ,FRA,1903,143,101.5,Garin ,Garin  (FRA),Other,Other,Other,1,0.16666666666666666,0,start
1903_1,1903-07-01,1,main,Lyon,FR,45.74846,4.84671,2996944,173,467,393.680319,Plain,Flat,Maurice Garin ,FRA,1903,143,101.5,Garin ,Garin  (FRA),Other,Other,Other,1,0.16666666666666666,0,end
1903_2,1903-07-05,2,main,Lyon,FR,45.74846,4.84671,2996944,173,374,276.174732,With mountain,Mountain,Hippolyte Aucouturier ,FRA,1903,-133,106.5,Aucouturier ,Aucouturier  (FRA),Other,Alps,Other,2,0.3333333333333333,0.16666666666666666,start
1903_2,1903-07-05,2,main,Marseille,FR,43.29695,5.38107,2995469,40,374,276.174732,With mountain,Mountain,Hippolyte Aucouturier ,FRA,1903,-133,106.5,Aucouturier ,Aucouturier  (FRA),Other,Alps,Other,2,0.3333333333333333,0.16666666666666666,end
1903_3,1903-07-08,3,main,Marseille,FR,43.29695,5.38107,2995469,40,423,320.001175,Plain,Flat,Hippolyte Aucouturier ,FRA,1903,106,93,Aucouturier ,Aucouturier  (FRA),Alps,Other,Other,3,0.5,0.3333333333333333,start
1903_3,1903-07-08,3,main,Toulouse,FR,43.60426,1.44367,2972315,146,423,320.001175,Plain,Flat,Hippolyte Aucouturier ,FRA,1903,106,93,Aucouturier ,Aucouturier  (FRA),Alps,Other,Other,3,0.5,0.3333333333333333,end
1903_4,1903-07-12,4,main,Toulouse,FR,43.60426,1.44367,2972315,146,268,212.149266,Plain,Flat,Charles Laeser ,SUI,1903,-137,77.5,Laeser ,Laeser  (SUI),Other,Other,Other,4,0.6666666666666666,0.5,start
1903_4,1903-07-12,4,main,Bordeaux,FR,44.84044,-0.5805,3031582,9,268,212.149266,Plain,Flat,Charles Laeser ,SUI,1903,-137,77.5,Laeser ,Laeser  (SUI),Other,Other,Other,4,0.6666666666666666,0.5,end
1903_5,1903-07-13,5,main,Bordeaux,FR,44.84044,-0.5805,3031582,9,425,275.055582,Plain,Flat,Maurice Garin ,FRA,1903,7,12.5,Garin ,Garin  (FRA),Other,Other,Other,5,0.8333333333333334,0.6666666666666666,start
1903_5,1903-07-13,5,main,Nantes,FR,47.21725,-1.55336,2990969,16,425,275.055582,Plain,Flat,Maurice Garin ,FRA,1903,7,12.5,Garin ,Garin  (FRA),Other,Other,Other,5,0.8333333333333334,0.6666666666666666,end
1903_6,1903-07-18,6,main,Nantes,FR,47.21725,-1.55336,2990969,16,471,342.77827,Plain,Flat,Maurice Garin ,FRA,1903,14,23,Garin ,Garin  (FRA),Other,Other,Other,6,1,0.8333333333333334,start
1903_6,1903-07-18,6,main,Paris,FR,48.85341,2.3488,2988507,30,471,342.77827,Plain,Flat,Maurice Garin ,FRA,1903,14,23,Garin ,Garin  (FRA),Other,Other,Other,6,1,0.8333333333333334,end
1904_1,1904-07-02,1,main,Montgeron,FR,48.70543,2.45039,2992536,75,467,375.676871,Plain,Flat,Maurice Garin ,FRA,1904,98,124,Garin ,Garin  (FRA),Other,Other,Other,1,0.16666666666666666,0,start
1904_1,1904-07-02,1,main,Lyon,FR,45.74846,4.84671,2996944,173,467,375.676871,Plain,Flat,Maurice Garin ,FRA,1904,98,124,Garin ,Garin  (FRA),Other,Other,Other,1,0.16666666666666666,0,end
1904_2,1904-07-09,2,main,Lyon,FR,45.74846,4.84671,2996944,173,374,276.174732,With mountain,Mountain,Hippolyte Aucouturier ,FRA,1904,-133,106.5,Aucouturier ,Aucouturier  (FRA),Other,Alps,Other,2,0.3333333333333333,0.16666666666666666,start
1904_2,1904-07-09,2,main,Marseille,FR,43.29695,5.38107,2995469,40,374,276.174732,With mountain,Mountain,Hippolyte Aucouturier ,FRA,1904,-133,106.5,Aucouturier ,Aucouturier  (FRA),Other,Alps,Other,2,0.3333333333333333,0.16666666666666666,end
1904_3,1904-07-13,3,main,Marseille,FR,43.29695,5.38107,2995469,40,424,320.001175,Plain,Flat,Hippolyte Aucouturier ,FRA,1904,106,93,Aucouturier ,Aucouturier  (FRA),Alps,Other,Other,3,0.5,0.3333333333333333,start
